Algorithm,InputSize,ExecutionTime(ms),Comparisons,Allocations,MaxDepth
mergesort,100,0.09,792,1,5
quicksort,100,0.09,581,0,5
select,100,0.43,1521,0,27
closest,100,9.47,1559,107,7
mergesort,1000,0.71,12759,1,8
quicksort,1000,0.80,10368,0,7
select,1000,1.33,19570,0,169
closest,1000,11.84,30112,1463,10
mergesort,10000,2.96,178342,1,11
quicksort,10000,2.80,153228,0,9
select,10000,4.07,162087,0,840
closest,10000,31.54,422400,12287,13
mergesort,100000,20.91,2276757,1,15
quicksort,100000,25.31,1984083,0,12
select,100000,26.29,3704171,0,10786
closest,100000,196.60,5499573,103391,17
mergesort,100,0.08,790,1,5
quicksort,100,0.11,756,0,5
select,100,0.44,1305,0,23
closest,100,21.14,1452,107,7
mergesort,1000,1.01,12740,1,8
quicksort,1000,0.69,10733,0,7
select,1000,1.19,14107,0,111
closest,1000,13.22,29805,1463,10
mergesort,10000,2.56,178294,1,11
quicksort,10000,3.53,166121,0,10
select,10000,3.08,157229,0,742
closest,10000,33.27,414227,12287,13
mergesort,100000,20.24,2276393,1,15
quicksort,100000,23.07,2045746,0,11
select,100000,22.59,2640292,0,8274
closest,100000,213.27,5518293,103391,17
mergesort,100,0.07,767,1,5
quicksort,100,0.10,592,0,5
select,100,0.68,794,0,14
closest,100,8.71,1496,107,7
mergesort,1000,0.85,12827,1,8
quicksort,1000,0.69,10770,0,7
select,1000,1.23,15353,0,128
closest,1000,11.76,28872,1463,10
mergesort,10000,2.42,178360,1,11
quicksort,10000,2.84,154823,0,9
select,10000,3.21,163026,0,753
closest,10000,34.25,416688,12287,13
mergesort,100000,21.55,2275811,1,15
quicksort,100000,22.20,2019998,0,11
select,100000,26.91,1396354,0,3544
closest,100000,183.50,5512946,103391,17
mergesort,100,0.07,784,1,5
quicksort,100,0.12,662,0,5
select,100,0.42,1287,0,23
closest,100,12.71,1504,107,7
mergesort,1000,1.00,12698,1,8
quicksort,1000,0.76,10800,0,7
select,1000,1.32,20968,0,173
closest,1000,14.41,28775,1463,10
mergesort,10000,2.31,178469,1,11
quicksort,10000,3.28,154865,0,9
select,10000,2.71,109534,0,556
closest,10000,54.17,413779,12287,13
mergesort,100000,23.00,2276134,1,15
quicksort,100000,22.19,2067736,0,11
select,100000,25.41,3437074,0,9319
closest,100000,200.25,5518247,103391,17
mergesort,100,0.08,782,1,5
quicksort,100,0.09,592,0,5
select,100,0.43,1782,0,29
closest,100,8.65,1498,107,7
mergesort,1000,0.68,12808,1,8
quicksort,1000,0.71,11851,0,7
select,1000,1.18,11861,0,85
closest,1000,12.17,29313,1463,10
mergesort,10000,2.42,178487,1,11
quicksort,10000,2.64,161921,0,9
select,10000,3.98,171658,0,895
closest,10000,32.62,416836,12287,13
mergesort,100000,20.54,2276779,1,15
quicksort,100000,21.69,2010432,0,11
select,100000,20.58,1977212,0,5414
closest,100000,189.85,5498368,103391,17
mergesort,100,0.11,787,1,5
quicksort,100,0.09,570,0,5
select,100,0.42,1558,0,29
closest,100,9.68,1623,107,7
mergesort,1000,0.74,12830,1,8
quicksort,1000,0.69,11540,0,7
select,1000,1.42,25002,0,183
closest,1000,12.00,28163,1463,10
mergesort,10000,2.46,178071,1,11
quicksort,10000,3.18,153992,0,9
select,10000,6.28,234923,0,1122
closest,10000,34.95,420511,12287,13
mergesort,100000,24.74,2276864,1,15
quicksort,100000,24.55,1931432,0,11
select,100000,16.13,1488545,0,3975
closest,100000,190.32,5508735,103391,17
mergesort,100,0.13,781,1,5
quicksort,100,0.09,667,0,5
select,100,0.47,1645,0,30
closest,100,9.14,1546,107,7
mergesort,1000,0.78,12823,1,8
quicksort,1000,1.03,11527,0,8
select,1000,0.96,11624,0,83
closest,1000,11.70,28972,1463,10
mergesort,10000,3.17,178713,1,11
quicksort,10000,2.69,162391,0,9
select,10000,3.98,257849,0,1179
closest,10000,32.87,417800,12287,13
mergesort,100000,20.53,2276153,1,15
quicksort,100000,22.00,2013548,0,11
select,100000,23.69,2714829,0,7332
closest,100000,212.86,5515084,103391,17
mergesort,100,0.08,778,1,5
quicksort,100,0.09,599,0,5
select,100,0.44,1831,0,32
closest,100,9.67,1607,107,7
mergesort,1000,0.68,12782,1,8
quicksort,1000,0.66,10927,0,7
select,1000,1.30,22097,0,201
closest,1000,13.61,28702,1463,10
mergesort,10000,2.54,178300,1,11
quicksort,10000,4.97,149595,0,10
select,10000,2.90,114872,0,518
closest,10000,34.93,419291,12287,13
mergesort,100000,21.66,2276565,1,15
quicksort,100000,22.99,2035764,0,12
select,100000,17.80,1814710,0,4923
closest,100000,217.44,5535991,103391,17
